nyud 509
nyud 200
scenenet train/0/255 2600
scenenet train/0/220 7225
scenenet train/0/486 3250
scenenet train/0/309 5700
scenenet train/0/161 6225
scenenet train/0/67 7100
scenenet train/0/21 3925
scenenet train/0/122 6725
scenenet train/0/46 5750
scenenet train/0/487 7025
scenenet train/0/223 5275
scenenet train/0/358 375
scenenet train/0/284 4025
nyud 416
nyud 1027
scannet scene0002_01 003959
scannet scene0002_01 003634
scannet scene0002_01 000377
scannet scene0000_01 004552
scannet scene0000_00 001479
scannet scene0002_00 001280
scannet scene0002_01 001938
scannet scene0000_00 001489
scannet scene0002_01 000892
scannet scene0000_01 005164
scannet scene0000_00 000352
scannet scene0000_00 004565
scenenet train/0/389 725
scenenet train/0/236 3350
scenenet train/0/203 5525
scenenet train/0/213 6875
scenenet train/0/439 1700
scenenet train/0/467 4375
scenenet train/0/357 5425
scenenet train/0/424 3925
scenenet train/0/274 3650
scenenet train/0/179 6725
scenenet train/0/314 3825
scenenet train/0/60 6400
scenenet train/0/112 3175
scenenet train/0/88 5725
scenenet train/0/167 7050
scenenet train/0/338 3800
scenenet train/0/347 4025
scenenet train/0/346 6625
scenenet train/0/245 2625
scenenet train/0/5 2675
scenenet train/0/299 4225
scenenet train/0/235 1625
scenenet train/0/132 4275
scenenet train/0/78 5325
scenenet train/0/459 1325
scenenet train/0/384 1350
scenenet train/0/492 1375
scenenet train/0/241 2600
scenenet train/0/459 6150
scenenet train/0/180 1500
scenenet train/0/412 3525
scenenet train/0/485 1000
scenenet train/0/182 6925
scenenet train/0/33 4075
nyud 802
nyud 893
scannet scene0002_01 000769
scannet scene0000_02 001708
scannet scene0002_00 001255
scannet scene0000_02 002563
scannet scene0000_00 001192
scannet scene0000_01 004821
scannet scene0002_00 000718
scannet scene0002_01 002550
scannet scene0000_01 003075
scannet scene0002_00 001522
scannet scene0000_00 002885
scannet scene0000_02 001991
scenenet train/0/345 6000
scenenet train/0/148 4675
scenenet train/0/301 1375
scenenet train/0/352 5025
scenenet train/0/343 2750
scenenet train/0/306 150
scenenet train/0/198 4825
scenenet train/0/99 3925
scenenet train/0/348 6000
scenenet train/0/385 6975
scenenet train/0/94 7400
scenenet train/0/182 6050
scenenet train/0/172 1600
scenenet train/0/336 2875
scenenet train/0/106 5200
scenenet train/0/471 6625
scenenet train/0/313 7375
scenenet train/0/131 525
scenenet train/0/108 4350
scenenet train/0/416 4225
scenenet train/0/262 3800
scenenet train/0/297 7225
scenenet train/0/365 700
scenenet train/0/34 3450
scenenet train/0/16 3925
scenenet train/0/122 3575
scenenet train/0/327 6750
scenenet train/0/493 3600
scenenet train/0/254 2450
scenenet train/0/17 6500
scenenet train/0/317 75
scenenet train/0/163 4850
scenenet train/0/68 1150
scenenet train/0/356 2325
nyud 191
nyud 97
scannet scene0000_00 004057
scannet scene0000_02 000272
scannet scene0000_02 004239
scannet scene0001_00 000465
scannet scene0001_01 000353
scannet scene0000_02 004439
scannet scene0001_00 000787
scannet scene0002_01 005343
scannet scene0000_01 003817
scannet scene0002_01 004104
scannet scene0000_01 001651
scannet scene0000_00 000969
scenenet train/0/346 4575
scenenet train/0/65 2875
scenenet train/0/414 550
scenenet train/0/405 6275
scenenet train/0/228 825
scenenet train/0/181 4500
scenenet train/0/348 3350
scenenet train/0/32 7400
scenenet train/0/422 5425
scenenet train/0/480 650
scenenet train/0/478 4550
scenenet train/0/144 1050
scenenet train/0/486 3600
scenenet train/0/87 5500
scenenet train/0/456 1725
scenenet train/0/339 1950
scenenet train/0/417 1175
scenenet train/0/186 5150
scenenet train/0/195 600
scenenet train/0/85 2100
scenenet train/0/391 3975
scenenet train/0/124 2700
scenenet train/0/257 5200
scenenet train/0/45 350
scenenet train/0/461 2575
scenenet train/0/441 5450
scenenet train/0/148 2075
scenenet train/0/169 5225
scenenet train/0/284 7475
scenenet train/0/149 1650
scenenet train/0/485 5275
scenenet train/0/370 2850
scenenet train/0/264 6250
scenenet train/0/73 325
nyud 1262
nyud 268
scannet scene0002_01 001743
scannet scene0000_02 000688
scannet scene0000_02 000463
scannet scene0000_00 002554
scannet scene0000_00 003073
scannet scene0000_01 005405
scannet scene0000_00 000688
scannet scene0002_01 000421
scannet scene0000_02 005174
scannet scene0002_01 004507
scannet scene0000_02 002721
scannet scene0002_01 000742
scenenet train/0/160 5700
scenenet train/0/353 600
scenenet train/0/355 5750
scenenet train/0/296 1225
scenenet train/0/253 3975
scenenet train/0/224 6550
scenenet train/0/467 2075
scenenet train/0/472 3800
scenenet train/0/61 6975
scenenet train/0/207 6725
scenenet train/0/244 6375
scenenet train/0/70 2325
scenenet train/0/167 4525
scenenet train/0/273 6800
scenenet train/0/387 4175
scenenet train/0/423 700
scenenet train/0/472 4375
scenenet train/0/313 4800
scenenet train/0/132 1975
scenenet train/0/218 4925
scenenet train/0/344 1000
scenenet train/0/354 2050
scenenet train/0/42 2625
scenenet train/0/365 6750
scenenet train/0/85 325
scenenet train/0/111 1850
scenenet train/0/466 6650
scenenet train/0/156 2275
scenenet train/0/471 3275
scenenet train/0/348 4575
scenenet train/0/161 650
scenenet train/0/285 725
scenenet train/0/260 6125
scenenet train/0/167 6100
nyud 862
nyud 1177
scannet scene0002_01 003599
scannet scene0002_01 004045
scannet scene0002_01 001652
scannet scene0000_01 004348
scannet scene0000_01 001259
scannet scene0000_02 002775
scannet scene0001_00 000419
scannet scene0002_01 004180
scannet scene0000_02 001029
scannet scene0000_01 001046
scannet scene0000_01 003460
scannet scene0000_00 004087
scenenet train/0/149 2250
scenenet train/0/223 5100
scenenet train/0/217 1250
scenenet train/0/69 3650
scenenet train/0/119 7100
scenenet train/0/470 100
scenenet train/0/102 1000
scenenet train/0/89 6625
scenenet train/0/180 1250
scenenet train/0/360 1125
scenenet train/0/469 750
scenenet train/0/10 4975
scenenet train/0/68 725
scenenet train/0/149 4150
scenenet train/0/499 5650
scenenet train/0/202 3700
scenenet train/0/92 1975
scenenet train/0/341 4750
scenenet train/0/320 6975
scenenet train/0/44 4475
scenenet train/0/393 6325
scenenet train/0/140 6575
scenenet train/0/373 6025
scenenet train/0/498 700
scenenet train/0/253 475
scenenet train/0/314 4400
scenenet train/0/448 525
scenenet train/0/13 2875
scenenet train/0/418 3625
scenenet train/0/346 3425
scenenet train/0/208 1975
scenenet train/0/76 2425
scenenet train/0/117 2825
scenenet train/0/410 5475
nyud 286
nyud 647
scannet scene0000_02 003745
scannet scene0002_00 001533
scannet scene0002_00 000565
scannet scene0002_01 004525
scannet scene0000_02 001170
scannet scene0000_02 005128
scannet scene0000_01 002799
scannet scene0000_01 004137
scannet scene0000_00 005484
scannet scene0002_01 002938
scannet scene0001_01 000613
scannet scene0000_01 005411
scenenet train/0/71 1175
scenenet train/0/356 2925
scenenet train/0/390 7350
scenenet train/0/85 2075
scenenet train/0/222 5325
scenenet train/0/24 4200
scenenet train/0/497 1900
scenenet train/0/161 150
scenenet train/0/460 3025
scenenet train/0/83 450
scenenet train/0/209 3525
scenenet train/0/482 1325
scenenet train/0/346 3925
scenenet train/0/168 3725
scenenet train/0/72 2375
scenenet train/0/55 5775
scenenet train/0/453 1825
scenenet train/0/346 975
scenenet train/0/388 4100
scenenet train/0/8 875
scenenet train/0/490 2475
scenenet train/0/273 2100
scenenet train/0/28 3550
scenenet train/0/252 200
scenenet train/0/476 3125
scenenet train/0/131 1700
scenenet train/0/269 850
scenenet train/0/123 6925
scenenet train/0/229 6275
scenenet train/0/165 1850
scenenet train/0/391 5275
scenenet train/0/411 7350
scenenet train/0/114 2125
scenenet train/0/265 2700
nyud 1288
nyud 519
scannet scene0002_01 001328
scannet scene0002_00 001479
scannet scene0001_01 000851
scannet scene0001_00 000616
scannet scene0000_01 000646
scannet scene0000_02 002749
scannet scene0002_00 000341
scannet scene0000_00 005480
scannet scene0000_00 005263
scannet scene0000_00 002155
scannet scene0000_00 001278
scannet scene0000_02 005350
scenenet train/0/105 4375
scenenet train/0/27 625
scenenet train/0/381 1850
scenenet train/0/191 3675
scenenet train/0/335 6275
scenenet train/0/493 4050
scenenet train/0/14 3575
scenenet train/0/376 2550
scenenet train/0/41 1600
scenenet train/0/34 300
scenenet train/0/279 2825
scenenet train/0/430 7075
scenenet train/0/359 7025
scenenet train/0/432 900
scenenet train/0/272 4125
scenenet train/0/299 7000
scenenet train/0/347 5600
scenenet train/0/360 1975
scenenet train/0/292 1125
scenenet train/0/247 7300
scenenet train/0/74 6750
scenenet train/0/345 6600
scenenet train/0/29 5975
scenenet train/0/444 5950
scenenet train/0/161 2200
scenenet train/0/115 1175
scenenet train/0/170 475
scenenet train/0/41 1675
scenenet train/0/189 3125
scenenet train/0/16 6700
scenenet train/0/252 3350
scenenet train/0/199 4400
scenenet train/0/395 5675
scenenet train/0/334 2625
nyud 821
nyud 602
scannet scene0002_00 001240
scannet scene0002_00 000204
scannet scene0000_00 000965
scannet scene0000_02 001585
scannet scene0000_01 001773
scannet scene0002_01 003822
scannet scene0000_00 005391
scannet scene0000_02 001320
scannet scene0000_00 004175
scannet scene0002_01 005379
scannet scene0000_02 002541
scannet scene0001_01 001085
scenenet train/0/401 4725
scenenet train/0/491 2675
scenenet train/0/252 7150
scenenet train/0/445 6325
scenenet train/0/302 3225
scenenet train/0/86 3125
scenenet train/0/229 725
scenenet train/0/199 4950
scenenet train/0/205 2400
scenenet train/0/273 2150
scenenet train/0/120 4350
scenenet train/0/131 600
scenenet train/0/186 5500
scenenet train/0/357 4000
scenenet train/0/259 5750
scenenet train/0/366 625
scenenet train/0/456 1000
scenenet train/0/346 1750
scenenet train/0/85 900
scenenet train/0/273 6150
scenenet train/0/293 6500
scenenet train/0/139 5425
scenenet train/0/11 1800
scenenet train/0/226 150
scenenet train/0/99 3950
scenenet train/0/472 3525
scenenet train/0/171 2350
scenenet train/0/458 6275
scenenet train/0/20 6925
scenenet train/0/386 2375
scenenet train/0/349 575
scenenet train/0/81 5600
scenenet train/0/390 6325
scenenet train/0/444 2700
nyud 761
nyud 354
scannet scene0000_01 000121
scannet scene0000_02 000751
scannet scene0000_02 000016
scannet scene0000_01 001306
scannet scene0002_01 005387
scannet scene0000_00 001888
scannet scene0002_01 003140
scannet scene0000_02 002020
scannet scene0002_01 002022
scannet scene0002_01 003222
scannet scene0002_01 001293
scannet scene0000_02 000433
scenenet train/0/464 2200
scenenet train/0/430 1200
scenenet train/0/411 425
scenenet train/0/102 4100
scenenet train/0/108 3850
scenenet train/0/356 6575
scenenet train/0/43 4275
scenenet train/0/268 2150
scenenet train/0/188 5825
scenenet train/0/338 6375
scenenet train/0/405 275
scenenet train/0/264 2575
scenenet train/0/172 3375
scenenet train/0/430 275
scenenet train/0/108 6525
scenenet train/0/288 6875
scenenet train/0/364 3825
scenenet train/0/261 2075
scenenet train/0/292 800
scenenet train/0/31 6075
scenenet train/0/8 4500
scenenet train/0/437 950
scenenet train/0/94 5750
scenenet train/0/363 4250
scenenet train/0/87 4800
scenenet train/0/238 4600
scenenet train/0/147 2925
scenenet train/0/380 3200
scenenet train/0/272 3125
scenenet train/0/353 1275
scenenet train/0/333 1925
scenenet train/0/418 2675
scenenet train/0/381 1575
scenenet train/0/496 2950
nyud 643
nyud 1007
scannet scene0000_02 005120
scannet scene0002_01 004188
scannet scene0002_01 002922
scannet scene0000_01 002968
scannet scene0000_02 003228
scannet scene0002_01 004822
scannet scene0000_02 001391
scannet scene0000_02 002390
scannet scene0002_01 001033
scannet scene0000_00 000029
scannet scene0000_02 004314
scannet scene0002_00 000871
scenenet train/0/433 1700
scenenet train/0/55 2625
scenenet train/0/337 5800
scenenet train/0/174 0
scenenet train/0/448 5800
scenenet train/0/304 2700
scenenet train/0/162 375
scenenet train/0/345 7350
scenenet train/0/160 4750
scenenet train/0/136 3150
scenenet train/0/107 6550
scenenet train/0/432 2625
scenenet train/0/3 1250
scenenet train/0/91 500
scenenet train/0/19 6000
scenenet train/0/295 6800
scenenet train/0/12 3300
scenenet train/0/283 750
scenenet train/0/259 725
scenenet train/0/244 6000
scenenet train/0/96 4975
scenenet train/0/434 2650
scenenet train/0/295 1300
scenenet train/0/39 2875
scenenet train/0/144 6300
scenenet train/0/355 275
scenenet train/0/466 4375
scenenet train/0/219 6125
scenenet train/0/277 4800
scenenet train/0/66 7425
scenenet train/0/250 4375
scenenet train/0/373 7225
scenenet train/0/450 6500
scenenet train/0/263 4500
nyud 1137
nyud 1045
scannet scene0000_01 000943
scannet scene0002_01 003185
scannet scene0002_01 000557
scannet scene0002_01 001102
scannet scene0000_02 002472
scannet scene0000_00 000419
scannet scene0001_00 001235
scannet scene0000_01 004067
scannet scene0000_00 002825
scannet scene0002_01 002447
scannet scene0002_01 002414
scannet scene0002_01 001797
scenenet train/0/108 4425
scenenet train/0/457 1825
scenenet train/0/207 5150
scenenet train/0/158 3325
scenenet train/0/400 1800
scenenet train/0/212 4300
scenenet train/0/488 2025
scenenet train/0/359 3725
scenenet train/0/56 3050
scenenet train/0/349 2000
scenenet train/0/58 1550
scenenet train/0/374 5600
scenenet train/0/87 5475
scenenet train/0/6 7325
scenenet train/0/139 2000
scenenet train/0/187 2875
scenenet train/0/79 1450
scenenet train/0/460 4250
scenenet train/0/386 4500
scenenet train/0/446 2500
scenenet train/0/224 4700
scenenet train/0/346 2500
scenenet train/0/173 4250
scenenet train/0/264 6700
scenenet train/0/90 650
scenenet train/0/467 3675
scenenet train/0/350 7400
scenenet train/0/395 6400
scenenet train/0/357 1125
scenenet train/0/187 7475
scenenet train/0/29 6775
scenenet train/0/61 4250
scenenet train/0/267 1500
scenenet train/0/259 900
nyud 78
nyud 850
scannet scene0001_01 000237
scannet scene0002_01 005089
scannet scene0002_01 000637
scannet scene0002_01 001278
scannet scene0000_00 004257
scannet scene0000_00 002298
scannet scene0000_01 003481
scannet scene0002_01 000710
scannet scene0000_00 005071
scannet scene0000_01 002181
scannet scene0000_02 002381
scannet scene0000_00 001446
scenenet train/0/267 1950
scenenet train/0/202 2225
scenenet train/0/318 1925
scenenet train/0/61 1800
scenenet train/0/437 1175
scenenet train/0/55 4400
scenenet train/0/7 2425
scenenet train/0/222 7250
scenenet train/0/333 1900
scenenet train/0/17 7200
scenenet train/0/108 4225
scenenet train/0/313 2325
scenenet train/0/201 6425
scenenet train/0/432 6950
scenenet train/0/298 750
scenenet train/0/56 2200
scenenet train/0/134 1325
scenenet train/0/496 125
scenenet train/0/198 5075
scenenet train/0/299 3275
scenenet train/0/173 6925
scenenet train/0/426 2150
scenenet train/0/365 2425
scenenet train/0/295 725
scenenet train/0/285 4875
scenenet train/0/219 1275
scenenet train/0/435 1775
scenenet train/0/434 6925
scenenet train/0/368 4450
scenenet train/0/304 4150
scenenet train/0/314 3750
scenenet train/0/455 875
scenenet train/0/5 825
scenenet train/0/370 4700
nyud 315
nyud 638
scannet scene0000_00 000910
scannet scene0002_01 000592
scannet scene0000_02 001984
scannet scene0000_01 003789
scannet scene0001_01 000082
scannet scene0000_02 004586
scannet scene0002_01 004372
scannet scene0000_01 002017
scannet scene0000_01 000819
scannet scene0000_01 005139
scannet scene0002_01 003561
scannet scene0001_01 000606
scenenet train/0/215 6275
scenenet train/0/295 75
scenenet train/0/37 4025
scenenet train/0/226 2900
scenenet train/0/183 3900
scenenet train/0/105 4575
scenenet train/0/280 2175
scenenet train/0/289 4000
scenenet train/0/452 150
scenenet train/0/404 125
scenenet train/0/194 1500
scenenet train/0/406 7100
scenenet train/0/275 2400
scenenet train/0/137 6225
scenenet train/0/41 4675
scenenet train/0/50 6300
scenenet train/0/420 2925
scenenet train/0/366 1900
scenenet train/0/141 450
scenenet train/0/134 4450
scenenet train/0/123 7375
scenenet train/0/383 3750
scenenet train/0/477 7175
scenenet train/0/41 150
scenenet train/0/204 3175
scenenet train/0/59 150
scenenet train/0/87 925
scenenet train/0/75 2850
scenenet train/0/248 1725
scenenet train/0/273 5100
scenenet train/0/231 5950
scenenet train/0/14 2550
scenenet train/0/144 5750
scenenet train/0/406 350
nyud 1023
nyud 702
scannet scene0000_00 001072
scannet scene0002_01 003562
scannet scene0002_01 004587
scannet scene0000_00 003853
scannet scene0000_02 003785
scannet scene0000_00 004981
scannet scene0000_01 004023
scannet scene0000_00 004998
scannet scene0000_00 001958
scannet scene0002_01 000845
scannet scene0000_02 004259
scannet scene0000_02 002029
scenenet train/0/284 5975
scenenet train/0/143 4875
scenenet train/0/149 7025
scenenet train/0/184 4825
scenenet train/0/117 2850
scenenet train/0/423 4250
scenenet train/0/442 6225
scenenet train/0/319 5375
scenenet train/0/17 5750
scenenet train/0/455 4750
scenenet train/0/342 200
scenenet train/0/413 550
scenenet train/0/190 4600
scenenet train/0/279 5700
scenenet train/0/67 7200
scenenet train/0/375 7225
scenenet train/0/289 1850
scenenet train/0/121 4225
scenenet train/0/165 1550
scenenet train/0/58 1500
scenenet train/0/403 5925
scenenet train/0/77 6750
scenenet train/0/106 5550
scenenet train/0/124 3750
scenenet train/0/182 4525
scenenet train/0/371 7325
scenenet train/0/34 6075
scenenet train/0/250 2100
scenenet train/0/405 2400
scenenet train/0/234 5775
scenenet train/0/379 6775
scenenet train/0/439 1600
scenenet train/0/56 1875
scenenet train/0/104 3600
nyud 1296
nyud 1230
scannet scene0000_02 001522
scannet scene0000_01 002680
scannet scene0002_01 003585
scannet scene0000_01 001304
scannet scene0000_01 004403
scannet scene0000_02 003634
scannet scene0001_00 000861
scannet scene0001_00 000558
scannet scene0000_00 005204
scannet scene0000_01 005280
scannet scene0001_01 000882
scannet scene0000_01 001401
scenenet train/0/89 2975
scenenet train/0/257 6650
scenenet train/0/216 1775
scenenet train/0/280 3075
scenenet train/0/301 3575
scenenet train/0/16 1550
scenenet train/0/108 3150
scenenet train/0/311 1775
scenenet train/0/253 3750
scenenet train/0/314 5350
scenenet train/0/6 3550
scenenet train/0/381 2875
scenenet train/0/8 100
scenenet train/0/254 4925
scenenet train/0/262 5225
scenenet train/0/177 4950
scenenet train/0/453 6000
scenenet train/0/324 3425
scenenet train/0/161 3350
scenenet train/0/186 275
scenenet train/0/277 3025
scenenet train/0/133 4950
scenenet train/0/44 2525
scenenet train/0/100 3225
scenenet train/0/135 2775
scenenet train/0/254 2275
scenenet train/0/225 7325
scenenet train/0/423 6800
scenenet train/0/69 3775
scenenet train/0/116 4400
scenenet train/0/181 3100
scenenet train/0/403 775
scenenet train/0/265 2000
scenenet train/0/199 7450
nyud 803
nyud 4
scannet scene0001_00 001260
scannet scene0001_00 000907
scannet scene0000_02 004208
scannet scene0000_02 005113
scannet scene0002_00 001376
scannet scene0002_00 000527
scannet scene0000_01 000426
scannet scene0000_02 005482
scannet scene0000_02 002955
scannet scene0000_00 005488
scannet scene0000_01 000756
scannet scene0002_01 003555
scenenet train/0/177 3850
scenenet train/0/304 3850
scenenet train/0/495 7150
scenenet train/0/345 3225
scenenet train/0/476 2875
scenenet train/0/420 4525
scenenet train/0/243 4475
scenenet train/0/452 5775
scenenet train/0/470 3925
scenenet train/0/384 275
scenenet train/0/79 4150
scenenet train/0/78 7475
scenenet train/0/399 4625
scenenet train/0/73 5850
scenenet train/0/290 6875
scenenet train/0/299 925
scenenet train/0/189 5450
scenenet train/0/355 4600
scenenet train/0/22 600
scenenet train/0/195 6000
scenenet train/0/241 6900
scenenet train/0/422 1550
scenenet train/0/399 0
scenenet train/0/33 5525
scenenet train/0/116 2150
scenenet train/0/22 725
scenenet train/0/408 2575
scenenet train/0/365 6025
scenenet train/0/218 4675
scenenet train/0/495 4800
scenenet train/0/381 1050
scenenet train/0/461 3300
scenenet train/0/31 2000
scenenet train/0/429 4150
nyud 1154
nyud 978
scannet scene0000_00 005111
scannet scene0000_00 003654
scannet scene0002_01 002222
scannet scene0002_01 003784
scannet scene0000_02 005065
scannet scene0000_00 003344
scannet scene0000_01 001317
scannet scene0000_00 005251
scannet scene0001_01 000555
scannet scene0000_01 005236
scannet scene0000_02 004880
scannet scene0000_01 004390
scenenet train/0/280 5100
scenenet train/0/5 800
scenenet train/0/280 1825
scenenet train/0/324 2625
scenenet train/0/58 2775
scenenet train/0/111 1650
scenenet train/0/217 3425
scenenet train/0/371 6025
scenenet train/0/410 1225
scenenet train/0/441 5525
scenenet train/0/227 2850
scenenet train/0/149 5275
scenenet train/0/122 1225
scenenet train/0/431 4750
scenenet train/0/364 5600
scenenet train/0/376 5125
scenenet train/0/250 3650
scenenet train/0/393 7000
scenenet train/0/268 3750
scenenet train/0/343 7225
scenenet train/0/437 1450
scenenet train/0/417 300
scenenet train/0/21 2450
scenenet train/0/217 4925
scenenet train/0/67 4875
scenenet train/0/173 4375
scenenet train/0/369 1100
scenenet train/0/386 1325
scenenet train/0/400 2500
scenenet train/0/158 4800
scenenet train/0/27 3250
scenenet train/0/36 4975
scenenet train/0/382 5975
scenenet train/0/204 2300
nyud 771
nyud 821
scannet scene0000_01 002164
scannet scene0000_00 002487
scannet scene0000_00 004269
scannet scene0000_02 004174
scannet scene0000_01 004407
scannet scene0000_00 002408
scannet scene0002_01 004784
scannet scene0000_01 003079
scannet scene0000_01 000890
scannet scene0000_00 002122
scannet scene0000_02 004426
scannet scene0002_00 000246
scenenet train/0/250 1525
scenenet train/0/364 800
scenenet train/0/200 7450
scenenet train/0/306 7200
scenenet train/0/37 2700
scenenet train/0/404 850
scenenet train/0/237 2500
scenenet train/0/158 6050
scenenet train/0/333 2800
scenenet train/0/490 1225
scenenet train/0/378 1675
scenenet train/0/117 6775
scenenet train/0/207 1550
scenenet train/0/326 1875
scenenet train/0/362 600
scenenet train/0/173 300
scenenet train/0/361 1775
scenenet train/0/454 4025
scenenet train/0/101 5275
scenenet train/0/320 225
scenenet train/0/280 50
scenenet train/0/73 3300
scenenet train/0/287 6700
scenenet train/0/204 1950
scenenet train/0/186 1100
scenenet train/0/160 1225
scenenet train/0/348 3275
scenenet train/0/83 1950
scenenet train/0/138 1325
scenenet train/0/261 3975
scenenet train/0/370 1025
scenenet train/0/427 5275
scenenet train/0/65 6000
scenenet train/0/331 6650
nyud 792
nyud 954
scannet scene0000_01 002808
scannet scene0001_00 000274
scannet scene0000_02 001440
scannet scene0000_00 002071
scannet scene0000_00 002041
scannet scene0002_01 003798
scannet scene0001_01 000107
scannet scene0002_01 004432
scannet scene0000_00 000131
scannet scene0002_00 000921
scannet scene0002_01 002639
scannet scene0000_02 004047
scenenet train/0/110 6400
scenenet train/0/245 1400
scenenet train/0/166 3300
scenenet train/0/179 4325
scenenet train/0/203 2825
scenenet train/0/399 2525
scenenet train/0/121 3400
scenenet train/0/48 4175
scenenet train/0/322 4850
scenenet train/0/136 1350
scenenet train/0/221 6575
scenenet train/0/424 3425
scenenet train/0/72 150
scenenet train/0/88 2325
scenenet train/0/332 7100
scenenet train/0/221 2350
scenenet train/0/496 4500
scenenet train/0/351 2675
scenenet train/0/459 3000
scenenet train/0/200 1350
scenenet train/0/6 3325
scenenet train/0/11 550
scenenet train/0/270 7025
scenenet train/0/66 5825
scenenet train/0/458 4400
scenenet train/0/283 6975
scenenet train/0/344 6200
scenenet train/0/338 25
scenenet train/0/216 2125
scenenet train/0/431 5850
scenenet train/0/288 4800
scenenet train/0/75 1800
scenenet train/0/184 6525
scenenet train/0/62 2700
nyud 1255
nyud 584
scannet scene0000_01 000548
scannet scene0000_01 003957
scannet scene0001_00 000739
scannet scene0002_01 000644
scannet scene0000_01 001917
scannet scene0000_00 001539
scannet scene0000_00 001976
scannet scene0000_02 004896
scannet scene0002_01 004132
scannet scene0000_00 003988
scannet scene0000_01 000581
scannet scene0000_01 003049
scenenet train/0/26 1250
scenenet train/0/277 3000
scenenet train/0/424 3600
scenenet train/0/300 7325
scenenet train/0/257 4375
scenenet train/0/63 1450
scenenet train/0/292 3800
scenenet train/0/295 7225
scenenet train/0/391 2900
scenenet train/0/450 1200
scenenet train/0/188 3125
scenenet train/0/204 2625
scenenet train/0/11 4675
scenenet train/0/165 2100
scenenet train/0/480 2050
scenenet train/0/306 1700
scenenet train/0/100 300
scenenet train/0/452 1550
scenenet train/0/315 6100
scenenet train/0/132 6000
scenenet train/0/65 4375
scenenet train/0/430 4300
scenenet train/0/145 5725
scenenet train/0/175 5975
scenenet train/0/354 600
scenenet train/0/379 900
scenenet train/0/299 6925
scenenet train/0/313 7350
scenenet train/0/451 5475
scenenet train/0/186 525
scenenet train/0/215 2150
scenenet train/0/244 6075
scenenet train/0/401 400
scenenet train/0/380 1300
nyud 708
nyud 1065
scannet scene0000_00 000159
scannet scene0000_02 001838
scannet scene0002_00 001528
scannet scene0002_01 004302
scannet scene0002_01 004247
scannet scene0001_00 000107
scannet scene0000_02 001617
scannet scene0000_00 002287
scannet scene0000_02 000520
scannet scene0002_01 002204
scannet scene0000_01 001816
scannet scene0000_01 003512
scenenet train/0/159 2250
scenenet train/0/87 4475
scenenet train/0/185 800
scenenet train/0/90 4725
scenenet train/0/356 50
scenenet train/0/15 6525
scenenet train/0/302 2525
scenenet train/0/22 3500
scenenet train/0/372 2075
scenenet train/0/291 3575
scenenet train/0/421 2100
scenenet train/0/329 3675
scenenet train/0/497 3025
scenenet train/0/133 5275
scenenet train/0/271 525
scenenet train/0/309 5200
scenenet train/0/18 1350
scenenet train/0/359 5050
scenenet train/0/250 2525
scenenet train/0/120 5175
scenenet train/0/202 3725
scenenet train/0/245 2000
scenenet train/0/432 1850
scenenet train/0/20 6600
scenenet train/0/239 3325
scenenet train/0/410 575
scenenet train/0/100 5350
scenenet train/0/281 3300
scenenet train/0/422 6350
scenenet train/0/190 1675
scenenet train/0/256 5250
scenenet train/0/97 7375
scenenet train/0/86 0
scenenet train/0/246 950
nyud 175
nyud 629
scannet scene0000_02 002517
scannet scene0002_00 000749
scannet scene0002_01 005076
scannet scene0000_02 003432
scannet scene0002_01 003553
scannet scene0000_02 000471
scannet scene0000_00 000506
scannet scene0002_01 002067
scannet scene0000_01 001640
scannet scene0000_02 001740
scannet scene0002_01 004805
scannet scene0000_00 003560
scenenet train/0/308 4250
scenenet train/0/402 2000
scenenet train/0/446 3250
scenenet train/0/122 825
scenenet train/0/63 700
scenenet train/0/208 6475
scenenet train/0/338 2925
scenenet train/0/208 3150
scenenet train/0/80 7425
scenenet train/0/329 3850
scenenet train/0/406 1875
scenenet train/0/269 4950
scenenet train/0/60 1925
scenenet train/0/355 1625
scenenet train/0/65 1575
scenenet train/0/12 1350
scenenet train/0/285 5675
scenenet train/0/135 3350
scenenet train/0/55 2250
scenenet train/0/204 800
scenenet train/0/11 3725
scenenet train/0/295 1600
scenenet train/0/34 175
scenenet train/0/367 3450
scenenet train/0/85 5050
scenenet train/0/251 7450
scenenet train/0/384 1475
scenenet train/0/88 4200
scenenet train/0/169 1300
scenenet train/0/325 6500
scenenet train/0/172 5525
scenenet train/0/182 3875
scenenet train/0/58 1700
scenenet train/0/387 3000
nyud 993
nyud 115
scannet scene0002_01 002097
scannet scene0001_01 000052
scannet scene0002_01 000565
scannet scene0000_02 004274
scannet scene0001_01 000532
scannet scene0000_02 004398
scannet scene0000_01 002714
scannet scene0002_01 001192
scannet scene0000_02 001717
scannet scene0000_01 004298
scannet scene0000_02 004696
scannet scene0000_02 002368
scenenet train/0/392 525
scenenet train/0/177 7375
scenenet train/0/351 5225
scenenet train/0/264 1025
scenenet train/0/25 450
scenenet train/0/492 3525
scenenet train/0/123 6425
scenenet train/0/173 5425
scenenet train/0/293 1100
scenenet train/0/24 6175
scenenet train/0/217 2600
scenenet train/0/365 2250
scenenet train/0/251 1600
scenenet train/0/10 5125
scenenet train/0/321 7400
scenenet train/0/81 7425
scenenet train/0/253 2850
scenenet train/0/397 300
scenenet train/0/173 1350
scenenet train/0/3 1550
scenenet train/0/250 6900
scenenet train/0/55 3250
scenenet train/0/403 3750
scenenet train/0/263 5550
